Date,Nominal Price,Net Change,Change (%),Bid,Ask,P/E(x),High,Low,Previous Close,Share Volume (000),Turnover (000),Lot Size
2023-02-10,383.4,,,383.2,383.4,,397.2,382.6,395.6,24606.0,9553892.0,
2023-02-09,395.6,,,395.4,395.6,,397.0,380.0,382.2,26661.0,10411378.0,
2023-02-08,382.2,,,382.0,382.2,,386.8,377.8,380.0,17270.0,6601541.0,
2023-02-07,380.0,,,380.0,380.2,,386.0,377.4,376.8,19802.0,7560574.0,
2023-02-06,376.8,,,376.4,376.8,,380.0,368.6,385.0,25591.0,9592557.0,
2023-02-03,385.0,,,384.8,385.0,,386.6,375.4,383.0,25942.0,9885039.0,
2023-02-02,383.0,,,383.0,383.2,,392.0,381.2,385.0,23755.0,9212436.0,
2023-02-01,385.0,,,384.8,385.0,,387.0,373.6,382.2,31419.0,11975419.0,
2023-01-31,382.2,,,382.2,382.4,,397.0,373.8,387.2,55756.0,21309340.0,
2023-01-30,387.2,,,387.0,387.2,,411.0,384.0,415.0,53627.0,21117886.0,
2023-01-27,415.0,,,414.2,415.0,,416.6,409.0,406.8,18625.0,7685460.0,
2023-01-26,406.8,,,406.4,406.8,,406.8,398.4,391.8,23729.0,9555142.0,
2023-01-20,391.8,,,391.6,391.8,,392.2,385.0,382.8,16864.0,6573675.0,
2023-01-19,382.8,,,382.6,382.8,,385.0,374.6,380.0,17352.0,6617318.0,
2023-01-18,380.0,,,379.4,380.0,,381.0,371.0,373.8,27123.0,10250086.0,
2023-01-17,373.8,,,373.6,373.8,,375.6,366.0,370.2,16104.0,5963512.0,
2023-01-16,370.2,,,370.0,370.2,,376.4,364.0,371.4,19986.0,7414939.0,
2023-01-13,371.4,,,371.2,371.4,,372.4,356.2,364.0,20971.0,7669192.0,
2023-01-12,364.0,,,363.2,364.0,,379.6,356.4,373.8,40548.0,14789005.0,
2023-01-11,373.8,,,373.6,373.8,,378.8,366.6,362.4,35722.0,13341773.0,
2023-01-10,362.4,,,362.0,362.4,,365.8,357.0,362.0,19854.0,7160873.0,
2023-01-09,362.0,,,361.6,362.0,,362.4,351.6,349.4,28324.0,10162059.0,
2023-01-06,349.4,,,349.2,349.4,,359.4,346.8,347.8,27092.0,9537399.0,
2023-01-05,347.8,,,347.6,347.8,,362.2,343.6,342.87,40804.0,14350264.0,
2023-01-04,361.0,,,360.8,361.0,,361.0,349.0,345.2,37430.0,13322864.0,
2023-01-03,345.2,,,345.0,345.2,,345.8,328.8,334.0,29958.0,10134792.0,
2022-12-30,334.0,,,334.0,334.2,,343.8,331.4,335.2,27211.0,9169264.0,
2022-12-29,335.2,,,335.0,335.2,,336.0,323.0,326.2,30087.0,9991288.0,
2022-12-28,326.2,,,326.0,326.2,,329.6,321.8,320.2,24188.0,7890186.0,
2022-12-23,320.2,,,320.2,320.4,,326.0,317.2,323.8,15503.0,4990075.0,
2022-12-22,323.8,,,323.6,323.8,,325.8,316.4,311.0,24252.0,7812816.0,
2022-12-21,311.0,,,310.8,311.0,,313.2,308.0,309.4,15324.0,4762831.0,
2022-12-20,309.4,,,309.2,309.4,,318.8,306.4,320.4,29056.0,9031816.0,
2022-12-19,320.4,,,320.2,320.4,,328.8,316.8,316.8,24897.0,8007002.0,
2022-12-16,316.8,,,316.8,317.0,,321.4,311.6,317.6,25129.0,7968428.0,
2022-12-15,317.6,,,317.4,317.6,,326.6,316.0,325.0,18962.0,6040827.0,
2022-12-14,325.0,,,325.0,325.2,,327.8,318.4,318.4,24238.0,7865015.0,
2022-12-13,318.4,,,318.2,318.4,,325.0,315.6,317.6,20313.0,6497226.0,
2022-12-12,317.6,,,317.4,317.6,,324.8,315.4,325.6,20510.0,6532116.0,
2022-12-09,325.6,,,325.0,325.6,,326.6,314.4,317.4,40400.0,13010690.0,
2022-12-08,317.4,,,317.2,317.4,,318.0,304.2,300.2,34092.0,10688852.0,
2022-12-07,300.2,,,300.2,300.4,,318.6,299.0,311.8,41108.0,12734708.0,
2022-12-06,311.8,,,311.6,311.8,,313.8,307.2,314.0,29059.0,9015662.0,
2022-12-05,314.0,,,313.8,314.0,,317.0,302.4,296.0,59827.0,18632821.0,
2022-12-02,296.0,,,295.8,296.0,,299.6,291.6,294.4,25087.0,7412911.0,
2022-12-01,294.4,,,294.4,294.6,,303.8,292.6,287.2,45550.0,13516782.0,
2022-11-30,287.2,,,287.2,287.6,,292.6,280.0,285.8,46634.0,13336875.0,
2022-11-29,285.8,,,285.8,286.0,,286.0,273.8,270.0,33141.0,9288043.0,
2022-11-28,270.0,,,270.0,270.2,,271.4,259.0,273.0,33499.0,8932255.0,
2022-11-25,273.0,,,272.8,273.0,,277.8,268.4,280.4,31318.0,8521459.0,
2022-11-24,280.4,,,280.4,280.6,,289.4,279.0,282.0,17175.0,4856964.0,
2022-11-23,282.0,,,281.8,282.0,,284.8,277.4,277.4,23380.0,6584600.0,
2022-11-22,277.4,,,277.0,277.4,,286.4,274.6,283.2,28461.0,7935213.0,
2022-11-21,283.2,,,283.0,283.2,,286.6,274.6,287.8,31309.0,8835178.0,
2022-11-18,287.8,,,287.8,288.0,,302.8,286.4,292.0,44759.0,13194750.0,
2022-11-17,292.0,,,292.0,292.2,,299.4,281.2,294.4,69821.0,20347072.0,
2022-11-16,294.4,,,294.2,294.4,,296.8,280.0,288.0,61785.0,17874982.0,
2022-11-15,288.0,,,287.8,288.0,,288.2,258.2,260.6,63103.0,17667319.0,
2022-11-14,260.6,,,260.4,260.6,,276.6,257.2,258.4,48397.0,12793448.0,
2022-11-11,258.4,,,258.2,258.4,,260.8,245.4,231.4,53013.0,13379987.0,
2022-11-10,231.4,,,231.2,231.4,,234.4,229.0,236.8,23258.0,5377821.0,
2022-11-09,236.8,,,236.6,236.8,,248.4,233.8,245.8,31659.0,7550803.0,
2022-11-08,245.8,,,245.6,245.8,,252.0,242.8,245.4,23541.0,5800513.0,
2022-11-07,245.4,,,245.2,245.4,,249.6,231.6,238.6,43980.0,10732444.0,
2022-11-04,238.6,,,238.6,238.8,,247.4,224.4,221.4,67156.0,16041579.0,
2022-11-03,221.4,,,221.4,221.6,,230.2,220.2,230.6,30635.0,6874779.0,
2022-11-02,230.6,,,230.6,230.8,,232.0,220.0,227.4,35145.0,7972954.0,
2022-11-01,227.4,,,227.2,227.4,,231.8,207.8,205.6,77842.0,17278380.0,
2022-10-31,205.6,,,205.6,205.8,,216.6,199.0,200.8,49513.0,10317200.0,
2022-10-28,200.8,,,200.8,201.0,,211.4,200.0,213.2,40832.0,8295820.0,
2022-10-27,213.2,,,213.2,213.4,,222.0,211.8,211.6,42717.0,9287008.0,
2022-10-26,211.6,,,211.6,211.8,,218.4,202.2,206.4,50349.0,10691691.0,
2022-10-25,206.4,,,206.4,206.6,,215.6,198.6,206.2,73017.0,15057096.0,
2022-10-24,206.2,,,206.2,206.4,,226.0,205.2,232.8,85068.0,18235595.0,
2022-10-21,232.8,,,232.8,233.0,,236.4,230.2,232.4,26546.0,6207434.0,
2022-10-20,232.4,,,232.4,232.6,,239.2,231.0,244.0,49411.0,11558522.0,
2022-10-19,244.0,,,244.0,244.4,,252.6,243.6,254.4,20957.0,5182928.0,
2022-10-18,254.4,,,254.2,254.4,,256.6,249.4,247.2,22130.0,5605507.0,
2022-10-17,247.2,,,247.2,247.4,,250.8,240.8,249.2,26319.0,6445323.0,
2022-10-14,249.2,,,249.2,249.6,,258.8,248.4,246.2,31457.0,7963716.0,
2022-10-13,246.2,,,246.2,246.4,,255.0,246.2,253.6,22159.0,5543702.0,
2022-10-12,253.6,,,253.6,253.8,,264.0,248.0,254.6,32025.0,8086480.0,
2022-10-11,254.6,,,254.4,254.6,,262.4,254.2,263.8,21324.0,5471081.0,
2022-10-10,263.8,,,263.8,264.0,,268.4,262.8,270.6,15680.0,4158717.0,
2022-10-07,270.6,,,270.4,270.6,,274.4,270.0,277.8,9981.0,2714042.0,
2022-10-06,277.8,,,277.8,278.0,,282.6,275.0,279.0,10374.0,2884643.0,
2022-10-05,279.0,,,278.8,279.0,,280.0,271.2,263.8,18141.0,5020412.0,
2022-10-03,263.8,,,263.8,264.0,,266.8,259.4,266.4,13987.0,3677985.0,
2022-09-30,266.4,,,266.4,267.0,,276.4,263.6,270.6,22458.0,6014748.0,
2022-09-29,270.6,,,270.6,270.8,,283.8,268.2,274.0,20159.0,5539715.0,
2022-09-28,274.0,,,274.0,274.2,,279.8,273.4,280.8,22160.0,6121751.0,
2022-09-27,280.8,,,280.8,281.0,,283.2,275.2,283.2,22729.0,6349927.0,
2022-09-26,283.2,,,283.2,283.4,,287.6,273.2,275.0,24647.0,6971035.0,
2022-09-23,275.0,,,274.8,275.0,,281.4,275.0,283.0,19675.0,5458007.0,
2022-09-22,283.0,,,282.6,283.0,,285.4,279.2,286.0,17537.0,4949062.0,
2022-09-21,286.0,,,286.0,286.2,,291.4,286.0,293.4,16093.0,4642285.0,
2022-09-20,293.4,,,293.4,293.8,,296.6,292.4,289.0,15136.0,4454161.0,
2022-09-19,289.0,,,288.8,289.0,,292.8,288.2,293.2,22924.0,6653188.0,
2022-09-16,293.2,,,293.2,294.0,,299.4,293.2,300.0,24944.0,7361832.0,
2022-09-15,300.0,,,300.0,300.2,,302.4,299.2,299.6,13322.0,4001260.0,
2022-09-14,299.6,,,299.6,299.8,,304.2,299.0,304.8,17989.0,5407892.0,
2022-09-13,304.8,,,304.8,305.0,,308.8,304.4,307.0,17174.0,5262294.0,
2022-09-09,307.0,,,307.0,307.2,,309.4,299.0,301.8,17163.0,5244168.0,
2022-09-08,301.8,,,301.6,301.8,,310.6,300.2,311.6,23575.0,7162855.0,
2022-09-07,311.6,,,311.6,311.8,,312.4,306.2,314.2,15178.0,4693056.0,
2022-09-06,314.2,,,314.0,314.2,,321.6,311.6,319.0,16233.0,5099396.0,
2022-09-05,319.0,,,319.0,319.2,,324.8,316.0,328.6,20371.0,6514278.0,
2022-09-02,328.6,,,328.4,328.6,,330.6,322.2,324.6,25491.0,8331246.0,
2022-09-01,324.6,,,324.4,324.6,,333.6,324.0,327.2,23932.0,7860185.0,
2022-08-31,327.2,,,327.2,327.4,,334.6,314.8,323.6,26207.0,8547599.0,
2022-08-30,323.6,,,323.4,323.6,,323.8,313.8,323.0,14043.0,4487786.0,
